"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-02","7.16"," 1408",,"0.00",,,,,"86","52","  300","  300","17.0","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-03","5.14"," 0742",,"0.00",,,,,"85","51","  320","   40","16.1","291.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-04","4.70"," 0133",,"0.00",,,,,"88","53","   70","  360","17.9","291.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-05","5.14"," 1616",,"0.00",,,,,"86","57","  130","  140","10.1","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-06","4.70"," 1227",,"0.00",,,,,"86","57","  300","  300","8.1","12.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-07","4.47"," 0004",,"0.00",,,,,"89","58","  140","  260","17.0","293.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-08","4.70"," 1603",,"0.00",,,,,"90","62","  270","  300","10.1","14.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-09","2.68"," 1306",,"0.00",,,,,"90","61","  360","  140","6.9","10.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-10","6.04"," 1812",,"0.00",,,,,"93","63","  120","  190","10.1","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-11","5.82"," 1428",,"0.00",,,,,"91","63","  150","  160","14.1","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-12","7.16"," 0707",,"0.00",,,,,"90","61","  190","  260","31.1","293.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-13","9.17"," 1402",,"0.00",,,,,"93","64","  210","  210","17.0","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-14","6.71"," 0130",,"0.11",,,,,"80","63","  270","  260","15.0","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-15","7.83"," 1359",,"0.53",,,,,"66","58","   40","   40","17.0","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-16","7.38"," 1145",,"0.00",,,,,"68","51","   10","   30","17.0","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-17","4.47"," 2242",,"0.00",,,,,"79","50","  150","   60","8.9","13.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-18","5.59"," 1220",,"0.00",,,,,"82","53","  160","  170","14.1","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-19","11.18"," 1606",,"0.43",,,,,"94","64","  320","  290","38.0","48.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-20","3.80"," 1224",,"0.22",,,,,"83","62","   60","   60","8.9","13.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-21","6.04"," 1309",,"0.00",,,,,"85","57","  160","  120","12.1","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-22","10.74"," 1454",,"0.00",,,,,"95","65","  240","  240","19.9","25.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-23","10.07"," 1550",,"0.86",,,,,"69","62","   50","   70","16.1","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-24","6.26"," 1343",,"0.00",,,,,"89","60","  200","  220","13.0","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-25","7.16"," 1321",,"1.60",,,,,"72","67","  140","  130","16.1","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-26","8.28"," 1446",,"0.01",,,,,"76","58","  320","  320","16.1","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-27","4.47"," 1000",,"0.00",,,,,"77","51","  130","  130","10.1","14.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-28","12.97"," 2112",,"0.36",,,,,"80","50","  320","  320","25.9","34.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-29","6.93"," 1019",,"0.00",,,,,"65","40","  350","  340","14.1","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-30","6.04"," 1552",,"0.00",,,,,"73","37","  200",,"13.0",,,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-01","6.49"," 1449",,"0.00",,,,,"82","47","  160","  160","14.1","17.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-02","8.72"," 0918",,"0.05",,,,,"87","55","  190","  180","17.9","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-03","7.61"," 1358",,"0.00",,,,,"89","66","  190","  180","14.1","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-04","6.71"," 1529",,"0.00",,,,,"90","65","  170","  170","15.0","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-05","8.05"," 1151",,"0.00",,,,,"87","63","  190","  210","16.1","19.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-06","10.74"," 0121",,"0.00",,,,,"68","42","  320","  310","17.0","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-07","10.29"," 1804",,"0.00",,,,,"58","42","  360","  360","16.1","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-08","10.51"," 1203",,"0.00",,,,,"60","38","   30","   40","17.0","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-09","7.61"," 2037",,"0.00",,,,,"67","41","   40","   40","14.1","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-10","6.26"," 1158",,"0.00",,,,,"62","48","   20","   30","14.1","17.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-11","5.14"," 1211",,"0.00",,,,,"63","51","   40","   40","8.9","13.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-12","2.68"," 1427",,"0.00",,,,,"70","45","   40","   40","8.9","13.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-13","4.70"," 1358",,"0.00",,,,,"77","46","  210","  260","15.0","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-14","7.38"," 1435",,"0.00",,,,,"78","43","  260","  290","16.1","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-15","9.40"," 1535",,"0.00",,,,,"71","40","  310","  310","19.9","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-16","5.59"," 1240",,"0.00",,,,,"68","35","  340","  320","13.0","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-17","10.29"," 0958",,"0.00",,,,,"81","44","  200","  220","21.0","25.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-18","5.14"," 1418",,"0.00",,,,,"76","40","  300","  320","10.1","14.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-19","12.08"," 2232",,"0.00",,,,,"72","49","   50","   50","17.9","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-20","17.22"," 2046",,"0.46",,,,,"52","47","   70","   80","25.9","31.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-21","12.75"," 1221",,"0.10",,,,,"52","41","   50","   50","23.9","29.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-22","8.05"," 1509",,"0.00",,,,,"60","36","  290","  290","21.0","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-23","10.74"," 1240",,"0.01",,,,,"51","33","  300","  330","21.9","25.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-24","15.66"," 1433",,"0.00",,,,,"51","39","  330","  320","21.9","25.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-25","10.51"," 1258",,"0.00",,,,,"55","35","   10","  350","19.9","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-26","3.58"," 1828",,"0.00",,,,,"55","32","   30","   30","10.1","13.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-27","5.37"," 1055",,"0.00",,,,,"56","6","   30","   20","13.0","15.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-28","2.46"," 1329",,"0.00",,,,,"57","29","   70","   50","8.1","12.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-29","8.95"," 1302",,"0.00",,,,,"60","31","  200","  200","16.1","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-30","12.53"," 1601",,"0.01",,,,,"66","33","  190","  190","21.9","25.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-10-31","9.40"," 2118",,"1.23",,,,,"58","49","  330","  320","17.0","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-01","8.50"," 0250",,"0.02",,,,,"56","36","  320","  320","16.1","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-02","12.30"," 0747",,"0.00",,,,,"67","33","  260",,"30.0",,,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-03","17.22"," 1411",,"0.00",,,,,"72","45","  190","  200","32.0","38.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-04","12.08"," 0159",,"0.00",,,,,"69","54","  190","  190","23.0","29.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-05","13.42"," 2323",,"0.21",,,,,"68","53","  260","  180","29.1","33.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-06","14.76"," 0231",,"0.18",,,,,"57","36","  250","  230","36.9","48.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-07","11.41"," 1433",,"0.00",,,,,"64","35","  180","  180","21.9","25.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-08","8.05"," 0221",,"0.02",,,,,"73","50","  220","  210","21.0","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-09","18.79"," 1444",,"0.00",,,,,"67","39","  290","  290","30.0","34.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-10","8.50"," 2356",,"0.00",,,,,"49","29","  300","  310","16.1","19.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-11","12.75"," 1409",,"0.00",,,,,"63","31","  180","  190","21.0","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-12","19.69"," 1217",,"0.00",,,,,"68","42","  180","  170","31.1","36.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-13","16.11"," 1200",,"0.00",,,,,"60","30","  260","  260","30.0","36.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-14","9.40"," 1052",,"0.30",,,,,"47","30","  100","   90","21.0","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-15","15.88"," 2052",,"0.56",,,,,"64","37","  250","  250","36.9","45.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-16","22.37"," 0208",,"0.00",,,,,"37","19","  260","  260","36.9","45.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-17","7.61"," 0000",,"0.00",,,,,"29","15","  290","  300","17.9","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-18","11.18"," 0944",,"0.00",,,,,"45","23","  230","  230","21.0","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-19","14.32"," 1340",,"0.00",,,,,"55","31","  190","  190","25.9","32.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-20","5.59"," 0203",,"0.00",,,,,"52","26","  200","  320","10.1","12.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-21","12.30"," 2048",,"0.00",,,,,"50","33","  350","  360","23.9","31.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-22","11.63"," 0941",,"0.00",,,,,"43","27","  330","  330","21.0","25.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-23","17.67"," 1314",,"0.00",,,,,"55","32","  280","  280","33.1","38.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-24","17.45"," 1223",,"0.00",,,,,"42","14","  320","  320","32.0","38.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-25","10.29"," 2321",,"0.00",,,,,"30","12","  180","  180","21.0","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-26","12.30"," 0850",,"0.00",,,,,"54","29","  200","  200","17.9","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-27","16.11"," 2354",,"0.39",,,,,"56","47","  130","  150","23.9","31.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-28","21.03"," 0911",,"0.70",,,,,"58","36","  170","  190","31.1","38.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-29","18.57"," 0718",,"0.00",,,,,"37","27","  220","  220","28.0","34.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-11-30","8.95"," 0436",,"0.00",,,,,"31","21","  280","  290","21.9","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-01","12.30"," 1435",,"0.10",,,,,"32","11","  300","  300","25.9","32.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-02","8.95"," 1112",,"0.00",,,,,"21","9","  290","  260","15.0","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-03","13.20"," 0935",,"0.07",,,,,"30","20","   90","  100","21.9","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-04","10.51"," 1043",,"0.00",,,,,"27","9","  300","  300","19.9","23.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-05","6.26"," 0237",,"0.00",,,,,"17","4","  300","  300","13.0","14.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-06","7.83"," 2158",,"0.00",,,,,"21","5","  310","  300","16.1","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-07","6.26"," 2356",,"0.00",,,,,"13","-5","   60","   60","16.1","17.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-08","16.33"," 1939",,"0.24",,,,,"24","8","  260","  260","33.1","36.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-09","12.53"," 2355",,"0.00",,,,,"14","2","  260","  270","25.1","31.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-10","17.22"," 2132",,"0.00",,,,,"34","7","  270","  270","23.9","30.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-11","11.63"," 0521",,"0.00",,,,,"35","23","  290","  280","31.1","36.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-12","4.70"," 1358",,"0.00",,,,,"28","22","  290","  290","8.1","8.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-13","7.61"," 2040",,"0.00",,,,,"31","22","  120","  120","15.0","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-14","14.09"," 0857",,"0.08",,,,,"36","28","  130","  130","25.1","31.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-15","8.05"," 1651",,"0.00",,,,,"36","23","  260","  260","23.0","28.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-16","14.76"," 1213",,"0.00",,,,,"30","15","  250","  250","32.0","34.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-17","6.71"," 2348",,"0.00",,,,,"31","12","  350","  350","13.0","15.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-18","8.50"," 1444",,"0.00",,,,,"20","4","  290","  290","14.1","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-19","9.62"," 1115",,"0.00",,,,,"15","1","  280","  280","17.9","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-20","9.40"," 1505",,"0.00",,,,,"28","4","  230","  230","14.1","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-21","8.72"," 1227",,"0.00",,,,,"30","13","  250","  240","15.0","17.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-22","14.32"," 2109",,"0.00",,,,,"40","19","  200","  200","23.0","28.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-23","12.75"," 1020",,"0.00",,,,,"47","34","  200","  200","21.0","25.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-24","6.26"," 0631",,"0.00",,,,,"39","35","  160","  160","13.0","15.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-25","14.99"," 1328",,"0.11",,,,,"36","33","  330","  330","25.1","29.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-26","10.29"," 0142",,"0.00",,,,,"34","32","  320","  320","16.1","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-27","11.41"," 1451",,"0.00",,,,,"51","32","  170","  160","21.0","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-28","13.65"," 1527",,"0.88",,,,,"48","33","  320","  330","25.1","31.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-29","8.28"," 0122",,"0.00",,,,,"37","33","  310","  320","21.0","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-30","12.53"," 1227",,"0.29",,,,,"38","32","  170","  150","21.9","25.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-12-31","11.41"," 1027",,"0.00",,,,,"37","30","  270","  260","21.9","25.9",,,,,,,,,
